updateCount,lastprice,volume,bidsize,bid,ask,asksize
472,26.76,6509,433,26.75,26.76,184
473,26.76,6631,408,26.75,26.76,69
474,26.76,6631,408,26.75,26.76,69
475,26.76,6659,409,26.75,26.76,40
476,26.76,6659,409,26.75,26.76,40
477,26.76,6659,479,26.75,26.76,38
478,26.76,6671,489,26.75,26.76,31
479,26.76,6672,489,26.75,26.76,30
480,26.76,6672,489,26.75,26.76,30
481,26.76,6673,492,26.75,26.76,340
482,26.76,6683,472,26.75,26.76,332
483,26.76,6683,472,26.75,26.76,332
484,26.76,6685,472,26.75,26.76,410
485,26.76,6696,477,26.75,26.76,402
486,26.76,6696,477,26.75,26.76,402
487,26.76,6697,478,26.75,26.76,404
488,26.76,6705,439,26.75,26.76,396
489,26.76,6705,439,26.75,26.76,396
490,26.76,6707,439,26.75,26.76,395
491,26.76,6718,421,26.75,26.76,389
492,26.76,6718,421,26.75,26.76,389
493,26.75,6723,416,26.75,26.76,389
494,26.76,6727,416,26.75,26.76,386
495,26.76,6727,416,26.75,26.76,386
496,26.76,6727,423,26.75,26.76,386
497,26.76,6771,420,26.75,26.76,345
498,26.76,6771,420,26.75,26.76,345
499,26.76,6772,439,26.75,26.76,394
500,26.76,6772,439,26.75,26.76,394
501,26.76,6772,432,26.75,26.76,315
502,26.76,6772,432,26.75,26.76,315
503,26.76,6772,432,26.75,26.76,315
504,26.76,6772,437,26.75,26.76,315
505,26.76,6773,440,26.75,26.76,314
506,26.76,6783,441,26.75,26.76,305
507,26.76,6783,441,26.75,26.76,305
508,26.76,6784,450,26.75,26.76,306
509,26.76,6785,453,26.75,26.76,305
510,26.76,6785,453,26.75,26.76,305
511,26.76,6797,505,26.75,26.76,293
512,26.76,6797,505,26.75,26.76,293
513,26.76,6797,505,26.75,26.76,292
514,26.76,6801,505,26.75,26.76,289
515,26.76,6801,505,26.75,26.76,289
516,26.76,6802,505,26.75,26.76,288
517,26.76,6803,510,26.75,26.76,291
518,26.76,6803,510,26.75,26.76,291
519,26.76,6808,529,26.75,26.76,286
520,26.76,6808,529,26.75,26.76,286
521,26.76,6808,529,26.75,26.76,286
522,26.76,6810,572,26.75,26.76,284
523,26.76,6811,573,26.75,26.76,283
524,26.76,6811,573,26.75,26.76,282
525,26.76,6811,574,26.75,26.76,282
526,26.76,6816,574,26.75,26.76,277
527,26.76,6816,574,26.75,26.76,277
528,26.76,6818,574,26.75,26.76,275
529,26.76,6821,574,26.75,26.76,272
530,26.76,6821,576,26.75,26.76,273
531,26.76,6821,576,26.75,26.76,285
532,26.76,6826,577,26.75,26.76,280
533,26.76,6831,577,26.75,26.76,275
534,26.76,6837,577,26.75,26.76,269
535,26.75,6838,588,26.75,26.76,268
536,26.75,6839,588,26.75,26.76,268
537,26.76,6844,587,26.75,26.76,266
538,26.76,6865,592,26.75,26.76,245
539,26.76,6880,591,26.75,26.76,235
540,26.76,6888,587,26.75,26.76,227
541,26.76,6888,587,26.75,26.76,227
542,26.76,6889,589,26.75,26.76,227
543,26.75,6895,595,26.75,26.76,227
544,26.75,6896,594,26.75,26.76,227
545,26.75,6897,593,26.75,26.76,227
546,26.76,6910,594,26.75,26.76,234
547,26.76,6910,594,26.75,26.76,234
548,26.76,6910,594,26.75,26.76,234
549,26.76,6910,595,26.75,26.76,234
550,26.75,6932,574,26.75,26.76,234
551,26.75,6936,571,26.75,26.76,234
552,26.76,6981,573,26.75,26.76,192
553,26.76,6987,573,26.75,26.76,186
554,26.75,6988,572,26.75,26.76,186
555,26.75,7088,433,26.75,26.76,317
556,26.76,7108,433,26.75,26.76,297
557,26.76,7108,436,26.75,26.76,297
558,26.76,7108,437,26.75,26.76,296
559,26.76,7108,437,26.75,26.76,296
560,26.76,7113,449,26.75,26.76,292
561,26.76,7113,499,26.75,26.76,294
562,26.76,7114,579,26.75,26.76,293
563,26.76,7114,580,26.75,26.76,292
564,26.76,7114,580,26.75,26.76,292
565,26.76,7115,580,26.75,26.76,294
566,26.75,7117,578,26.75,26.76,304
567,26.75,7117,578,26.75,26.76,305
568,26.75,7117,578,26.75,26.76,305
569,26.75,7117,578,26.75,26.76,305
570,26.75,7117,566,26.75,26.76,305
571,26.75,7117,566,26.75,26.76,305
572,26.75,7117,587,26.75,26.76,305
573,26.75,7118,587,26.75,26.76,305
574,26.75,7118,587,26.75,26.76,305
575,26.75,7119,587,26.75,26.76,305
576,26.76,7120,587,26.75,26.76,304
577,26.76,7120,587,26.75,26.76,304
578,26.76,7125,587,26.75,26.76,300
579,26.76,7125,607,26.75,26.76,304
580,26.76,7127,607,26.75,26.76,301
581,26.76,7127,607,26.75,26.76,301
582,26.76,7128,607,26.75,26.76,300
583,26.76,7128,607,26.75,26.76,300
584,26.76,7138,602,26.75,26.76,295
585,26.76,7138,603,26.75,26.76,300
586,26.76,7138,603,26.75,26.76,300
587,26.76,7139,605,26.75,26.76,299
588,26.75,7340,409,26.75,26.76,296
589,26.75,7340,409,26.75,26.76,296
590,26.75,7344,358,26.75,26.76,293
591,26.75,7346,357,26.75,26.76,294
592,26.75,7346,357,26.75,26.76,294
593,26.75,7346,357,26.75,26.76,294
594,26.75,7348,276,26.75,26.76,295
595,26.75,7348,276,26.75,26.76,295
596,26.76,7351,276,26.75,26.76,292
597,26.76,7351,276,26.75,26.76,292
598,26.76,7351,276,26.75,26.76,292
599,26.75,7490,1315,26.74,26.76,292
600,26.75,7499,1316,26.74,26.76,287
601,26.75,7499,1316,26.74,26.76,287
602,26.75,7499,64,26.75,26.76,287
603,26.75,7535,1388,26.74,26.76,286
604,26.75,7564,1438,26.74,26.76,286
605,26.75,7564,1438,26.74,26.76,285
606,26.76,7574,1438,26.74,26.76,278
607,26.76,7574,1438,26.74,26.76,278
608,26.76,7580,1438,26.74,26.76,273
609,26.76,7583,1438,26.74,26.75,1
610,26.75,7584,12,26.75,26.76,309
611,26.75,7584,12,26.75,26.76,309
612,26.76,7585,13,26.75,26.76,308
613,26.76,7585,13,26.75,26.76,308
614,26.75,7591,57,26.75,26.76,309
